ano,id_municipio,id_escola,id_aluno,caderno,serie,rede,presenca,preenchimento_caderno,alfabetizado,proficiencia,peso_aluno
2023,2112209,60005840,21071313,1,2,3,0,0,0,,
2023,4208203,60035685,42045298,1,2,3,0,0,0,,
2023,5107602,60041158,51032217,1,2,3,0,0,0,,
2024,1302108,60001218,13012618,1,2,3,0,0,0,,
2024,1714880,60003957,17010389,1,2,3,0,0,0,,
2024,2111300,60004414,21066606,1,2,3,0,0,0,,
2024,3105400,60018147,31180169,1,2,3,0,0,0,,
2024,3153509,60019099,31179078,1,2,3,0,0,0,,
2024,4205902,60034753,42032578,1,2,2,0,0,0,,
2024,5105606,60040572,51014015,1,2,3,0,0,0,,
2024,5208707,60041203,52004490,1,2,3,0,0,0,,
2023,1302603,60000686,13018086,1,2,2,0,0,0,,
2023,2507804,60010725,25030985,1,2,3,0,0,0,,
2023,2931350,60018045,29031774,1,2,3,0,0,0,,
2023,4209102,60035256,42061597,1,2,3,0,0,0,,
2024,1506203,60003472,15066371,1,2,3,0,0,0,,
2024,1600600,60003727,16008806,1,2,3,0,0,0,,
2024,2510105,60010611,25034756,1,2,3,0,0,0,,
2024,4112504,60032296,41135292,1,2,3,0,0,0,,
2024,4323002,60039344,43104962,1,2,3,0,0,0,,
2023,2926707,60016604,29010285,1,2,3,0,0,0,,
2023,2919207,60017740,29106586,1,2,3,0,0,0,,
2023,3131307,60020704,31145252,1,2,2,0,0,0,,
2023,3304557,60025055,33130084,1,2,3,0,0,0,,
2023,4124806,60033426,41109215,1,2,3,0,0,0,,
2023,4100400,60033782,41005287,1,2,3,0,0,0,,
2023,4307005,60037592,43028106,1,2,3,0,0,0,,
2023,4305124,60038324,43096650,1,2,3,0,0,0,,
2024,1101492,60000380,11017052,1,2,3,0,0,0,,
2024,1302504,60000790,13015160,1,2,2,0,0,0,,
2024,3145208,60022029,31184951,1,2,3,0,0,0,,
2024,4106902,60033586,41138629,1,2,3,0,0,0,,
2024,4209102,60035923,42048890,1,2,3,0,0,0,,
2023,3170206,60021503,31103730,1,2,3,0,0,0,,
2023,4105805,60034350,41010554,1,2,3,0,0,0,,
2023,4211900,60036744,42102393,1,2,3,0,0,0,,
2024,1501402,60001978,15092364,1,2,3,0,0,0,,
2024,2704302,60013825,27032763,1,2,3,0,0,0,,
2024,3550308,60027028,35417395,1,2,3,0,0,0,,
2024,3550308,60025825,35394076,1,2,2,0,0,0,,
2024,3550308,60025916,35355293,1,2,2,0,0,0,,
2024,4104659,60032500,41057565,1,2,3,0,0,0,,
2024,4106902,60033569,41133784,1,2,3,0,0,0,,
2024,5208806,60041231,52035815,1,2,3,0,0,0,,
2023,1500305,60003273,15002206,1,2,3,0,0,0,,
2023,2407203,60009861,24026912,1,2,3,0,0,0,,
2023,2919207,60016280,29106282,1,2,3,0,0,0,,
2023,4208302,60036684,42047676,1,2,3,0,0,0,,
2024,1304203,60000722,13026402,1,2,3,0,0,0,,
2024,2101400,60005514,21068451,1,2,3,0,0,0,,
