ano,id_municipio,serie,rede,taxa_alfabetizacao,media_portugues,proporcao_aluno_nivel_0,proporcao_aluno_nivel_1,proporcao_aluno_nivel_2,proporcao_aluno_nivel_3,proporcao_aluno_nivel_4,proporcao_aluno_nivel_5,proporcao_aluno_nivel_6,proporcao_aluno_nivel_7,proporcao_aluno_nivel_8
2023,1100031,2,3,69.1,767.8763,,,,,,,,,
2023,1100072,2,3,58.2,747.8918,,,,,,,,,
2023,1100189,2,5,69.73,762.4062,,,,,,,,,
2023,1101609,2,3,50.7,745.6802,,,,,,,,,
2023,1101807,2,3,55.69,752.3724,,,,,,,,,
2023,1302900,2,3,53.17,731.0744,,,,,,,,,
2023,1303304,2,2,72.32,755.225,,,,,,,,,
2023,1500107,2,5,39.73,725.5913,,,,,,,,,
2023,1501105,2,5,46.7,733.3467,,,,,,,,,
2023,1501725,2,3,73.21,758.3553,,,,,,,,,
2023,1502103,2,5,40.41,726.6077,,,,,,,,,
2023,1502855,2,5,37.54,727.9161,,,,,,,,,
2023,1503705,2,3,42.67,724.5942,,,,,,,,,
2023,1506583,2,5,53.64,741.9881,,,,,,,,,
2023,1600105,2,3,31.2,722.6519,,,,,,,,,
2023,1600600,2,3,41.76,732.3746,,,,,,,,,
2023,1600709,2,2,17.66,712.1965,,,,,,,,,
2023,1700350,2,3,95.52,786.5935,,,,,,,,,
2023,1703602,2,5,29.73,727.4654,,,,,,,,,
2023,1718006,2,5,7.57,705.1413,,,,,,,,,
2023,1722107,2,5,22.0,720.1447,,,,,,,,,
2023,2101301,2,3,67.67,757.3005,,,,,,,,,
2023,2101350,2,3,88.89,810.5072,,,,,,,,,
2023,2105351,2,3,86.12,787.9121,,,,,,,,,
2023,2106508,2,3,63.97,757.629,,,,,,,,,
2023,2106904,2,3,51.98,750.8178,,,,,,,,,
2023,2109759,2,3,36.45,711.2262,,,,,,,,,
2023,2111532,2,5,32.95,725.4313,,,,,,,,,
2023,2111607,2,3,71.02,769.0733,,,,,,,,,
2023,2112506,2,5,37.64,726.9909,,,,,,,,,
2023,2113009,2,3,51.04,741.5694,,,,,,,,,
2023,2203230,2,3,93.16,808.9041,,,,,,,,,
2023,2203305,2,3,70.15,765.717,,,,,,,,,
2023,2205805,2,3,51.73,743.6944,,,,,,,,,
2023,2208106,2,5,60.51,760.6756,,,,,,,,,
2023,2208551,2,3,73.86,765.0995,,,,,,,,,
2023,2209203,2,3,27.74,718.5381,,,,,,,,,
2023,2209658,2,5,33.64,721.293,,,,,,,,,
2023,2210359,2,3,100.0,792.3627,,,,,,,,,
2023,2210623,2,5,26.0,710.2858,,,,,,,,,
2023,2302305,2,5,95.85,815.6104,,,,,,,,,
2023,2307908,2,5,98.47,834.3973,,,,,,,,,
2023,2309706,2,3,76.03,778.8539,,,,,,,,,
2023,2311801,2,3,92.93,804.7985,,,,,,,,,
2023,2400802,2,5,28.34,721.9776,,,,,,,,,
2023,2401453,2,3,32.01,716.9271,,,,,,,,,
2023,2403608,2,3,48.0,734.4663,,,,,,,,,
2023,2404903,2,5,54.71,744.565,,,,,,,,,
2023,2405207,2,3,23.48,707.015,,,,,,,,,
2023,2407005,2,5,32.17,719.5314,,,,,,,,,
