ano,sigla_uf,serie,rede,taxa_alfabetizacao,media_portugues,proporcao_aluno_nivel_0,proporcao_aluno_nivel_1,proporcao_aluno_nivel_2,proporcao_aluno_nivel_3,proporcao_aluno_nivel_4,proporcao_aluno_nivel_5,proporcao_aluno_nivel_6,proporcao_aluno_nivel_7,proporcao_aluno_nivel_8
2023,AM,2,3,49.2,733.6637,,,,,,,,,
2023,PB,2,2,55.23,744.8152,,,,,,,,,
2023,PR,2,5,73.12,757.2146,,,,,,,,,
2023,AP,2,3,41.87,732.7858,,,,,,,,,
2023,PE,2,5,58.95,747.4522,,,,,,,,,
2023,MA,2,3,56.39,749.8729,,,,,,,,,
2023,MT,2,2,48.02,738.0,,,,,,,,,
2023,CE,2,3,84.49,795.7293,,,,,,,,,
2023,AL,2,5,43.88,729.7227,,,,,,,,,
2023,CE,2,2,78.75,785.1658,,,,,,,,,
2023,MS,2,3,47.53,736.0729,,,,,,,,,
2023,PI,2,2,48.27,739.785,,,,,,,,,
2023,SP,2,5,51.91,740.387,,,,,,,,,
2023,SC,2,3,62.04,747.7686,,,,,,,,,
2023,AM,2,5,52.2,736.4687,,,,,,,,,
2023,MA,2,5,56.43,749.9153,,,,,,,,,
2023,PA,2,2,57.07,741.3548,,,,,,,,,
2023,SE,2,5,31.3,713.1336,,,,,,,,,
2023,RS,2,2,63.18,747.6082,,,,,,,,,
2023,MT,2,3,55.43,747.32,,,,,,,,,
2023,GO,2,3,66.72,752.1315,,,,,,,,,
2023,PA,2,3,47.71,732.6697,,,,,,,,,
2023,AL,2,2,38.65,724.7993,,,,,,,,,
2023,RO,2,5,64.6,759.4357,,,,,,,,,
2023,PA,2,5,48.38,733.2877,,,,,,,,,
2023,SP,2,3,51.28,739.4069,,,,,,,,,
2023,PB,2,5,51.12,741.6011,,,,,,,,,
2023,SE,2,2,35.31,716.29,,,,,,,,,
2023,MS,2,2,42.9,729.3908,,,,,,,,,
2023,MT,2,5,55.03,746.8,,,,,,,,,
2023,RS,2,5,63.43,747.3933,,,,,,,,,
2023,MA,2,2,72.38,768.0339,,,,,,,,,
2023,BA,2,2,42.83,731.9768,,,,,,,,,
2023,RN,2,3,36.39,723.8538,,,,,,,,,
2023,PE,2,3,58.91,747.4203,,,,,,,,,
2023,MG,2,2,63.65,756.3436,,,,,,,,,
2023,SC,2,5,61.38,747.1144,,,,,,,,,
2023,AM,2,2,62.63,746.2058,,,,,,,,,
2023,TO,2,3,43.72,734.2853,,,,,,,,,
2023,SE,2,3,30.57,712.562,,,,,,,,,
2023,AP,2,2,40.7,731.4349,,,,,,,,,
2023,PI,2,3,52.5,744.6791,,,,,,,,,
2023,CE,2,5,84.46,795.675,,,,,,,,,
2023,BA,2,5,36.78,724.8617,,,,,,,,,
2023,RJ,2,3,52.13,737.3032,,,,,,,,,
2023,RO,2,3,65.17,760.1971,,,,,,,,,
2023,BA,2,3,36.77,724.8489,,,,,,,,,
2023,RJ,2,5,52.13,737.3032,,,,,,,,,
2023,ES,2,3,67.52,753.1398,,,,,,,,,
2023,SC,2,2,59.29,745.0389,,,,,,,,,
